DEPARTAMENTO,PERIODO,Área Sembrada(ha)
caldas,2007,2522
valle del cauca,2007,156065
risaralda,2007,2619
cauca,2007,41720
norte de santander,2007,668
norte de santander,2008,1074
valle del cauca,2008,159663
caldas,2008,2653
risaralda,2008,2662
cauca,2008,40686
caldas,2009,2742
norte de santander,2009,372
risaralda,2009,2667
quindio,2009,239
cauca,2009,41420
valle del cauca,2009,161186
risaralda,2010,2804
cauca,2010,44001
norte de santander,2010,372
caldas,2010,2806
meta,2010,998
quindio,2010,251
valle del cauca,2010,168449
cauca,2011,44437
valle del cauca,2011,173343
caldas,2011,3162
meta,2011,2247
norte de santander,2011,291
quindio,2011,287
risaralda,2011,2676
valle del cauca,2012,176225
meta,2012,5514
risaralda,2012,2723
norte de santander,2012,305
cauca,2012,45292
caldas,2012,3216
quindio,2012,292
valle del cauca,2013,174607
risaralda,2013,2803
quindio,2013,307
norte de santander,2013,358
caldas,2013,2862
cauca,2013,44981
meta,2013,6800
cauca,2014,129746
meta,2014,33562
cesar,2014,22173
santander,2014,98892
valle del cauca,2014,251254
huila,2014,172338
magdalena,2014,26030
antioquia,2014,200812
tolima,2014,131805
caldas,2014,108674
risaralda,2014,84035
narino,2014,35659
cundinamarca,2014,40347
quindio,2014,48244
casanare,2014,4404
atlantico,2014,2102
sucre,2014,4480
bolivar,2014,18135
norte de santander,2014,36417
guajira,2014,7816
cordoba,2014,22639
boyaca,2014,19551
guaviare,2015,12137
santander,2015,118594
guajira,2015,13406
meta,2015,304151
magdalena,2015,92914
san andres,2015,13
putumayo,2015,6260
risaralda,2015,4685
narino,2015,39045
tolima,2015,61815
quindio,2015,3040
norte de santander,2015,52620
huila,2015,38269
sucre,2015,34538
amazonas,2015,559
choco,2015,23931
caqueta,2015,15433
caldas,2015,7833
vaupes,2015,1189
cauca,2015,62567
valle del cauca,2015,213335
cesar,2015,114953
boyaca,2015,19292
bolivar,2015,168336
atlantico,2015,15798
arauca,2015,25209
casanare,2015,85546
vichada,2015,42198
guainia,2015,1352
antioquia,2015,71133
cundinamarca,2015,52008
cordoba,2015,97872
guainia,2016,1693
amazonas,2016,1509
norte de santander,2016,133439
santander,2016,265810
putumayo,2016,16444
vichada,2016,45308
tolima,2016,341546
san andres,2016,4
vaupes,2016,2018
bolivar,2016,231742
antioquia,2016,318974
caqueta,2016,39601
quindio,2016,35704
atlantico,2016,19098
risaralda,2016,61608
arauca,2016,62384
boyaca,2016,50803
caldas,2016,94021
sucre,2016,94769
valle del cauca,2016,296526
cauca,2016,178295
meta,2016,470181
cordoba,2016,139296
guajira,2016,36576
guaviare,2016,23132
magdalena,2016,143360
cesar,2016,195360
cundinamarca,2016,121242
choco,2016,54985
narino,2016,135121
huila,2016,266532
casanare,2016,252598
antioquia,2017,316286
choco,2017,51531
guaviare,2017,17334
valle del cauca,2017,298276
cordoba,2017,142626
arauca,2017,55597
guajira,2017,36204
san andres,2017,3
amazonas,2017,1964
santander,2017,266735
sucre,2017,85713
cundinamarca,2017,121338
risaralda,2017,60747
huila,2017,252280
vaupes,2017,2013
meta,2017,548108
caqueta,2017,37596
narino,2017,135544
caldas,2017,93431
casanare,2017,266651
norte de santander,2017,139344
tolima,2017,319298
vichada,2017,20679
putumayo,2017,16823
guainia,2017,3636
cauca,2017,177144
cesar,2017,198155
bolivar,2017,217068
magdalena,2017,149216
quindio,2017,34183
atlantico,2017,20054
boyaca,2017,48475
sucre,2018,52561
valle del cauca,2018,88284
tolima,2018,238708
vaupes,2018,2104
huila,2018,206702
san andres,2018,13
amazonas,2018,2465
antioquia,2018,286606
arauca,2018,37880
atlantico,2018,18572
bolivar,2018,177640
boyaca,2018,42845
caldas,2018,88237
caqueta,2018,34478
casanare,2018,217119
cauca,2018,121093
cesar,2018,173304
santander,2018,257755
choco,2018,45946
cundinamarca,2018,93815
guainia,2018,3391
guajira,2018,24782
guaviare,2018,15127
magdalena,2018,137405
meta,2018,455572
narino,2018,126060
norte de santander,2018,114595
putumayo,2018,14284
quindio,2018,32154
risaralda,2018,55720
cordoba,2018,100054
vichada,2018,15651
